,player_id,team_id,bid_value
0,1605,6,500
1,1605,7,520
2,1605,6,540
3,1605,7,560
4,1605,6,580
5,1605,7,600
6,1605,6,620
7,1605,7,640
8,1605,6,660
9,1605,7,680
10,1605,6,700
11,1605,7,720
12,1605,6,740
13,1605,7,760
14,1605,6,780
15,1605,7,800
16,1605,6,820
17,1605,7,840
18,1605,6,860
19,1605,7,880
20,1605,6,900
21,4,0,0
22,2,0,0
23,5,0,0
24,6,7,200
25,6,2,220
26,3,0,0
27,1,0,0
28,7,0,0
29,11,0,0
30,8,4,200
31,8,3,220
32,8,4,240
33,8,3,260
34,8,4,280
35,8,3,300
36,8,4,320
37,9,3,200
38,9,1,220
39,9,3,240
40,9,1,260
41,9,3,280
42,9,1,300
43,9,3,320
44,9,1,340
45,9,3,360
46,9,1,380
47,9,3,400
48,9,1,420
49,9,3,440
50,9,1,460
51,9,3,480
52,9,1,500
53,9,3,525
54,9,1,550
55,9,3,575
56,9,1,600
57,9,3,625
58,9,1,650
59,9,3,675
60,9,1,700
61,14,5,75
62,14,7,80
63,14,5,85
64,14,7,90
65,14,5,95
66,14,7,100
67,14,5,110
68,14,7,120
69,14,5,130
70,14,7,140
71,14,5,150
72,14,7,160
73,14,5,170
74,14,7,180
75,14,5,190
76,14,7,200
77,14,5,220
78,14,7,240
79,14,5,260
80,14,7,280
81,14,5,300
82,14,7,320
83,14,5,340
84,14,7,360
85,14,5,380
86,14,7,400
87,14,5,420
88,14,7,440
89,14,5,460
90,14,7,480
91,14,5,500
92,14,7,525
93,14,5,550
94,14,7,575
95,14,5,600
96,14,7,625
97,14,5,650
98,14,7,675
99,14,5,700
100,14,7,725
101,14,5,750
102,14,7,775
103,14,5,800
104,14,7,825
105,14,5,850
106,14,7,875
107,14,5,900
108,14,7,925
109,14,5,950
110,14,7,975
111,14,5,1000
112,14,6,1025
113,14,5,1050
114,14,6,1075
115,14,5,1100
116,14,6,1125
117,14,5,1150
118,14,6,1175
119,14,5,1200
120,14,6,1225
121,14,5,1250
122,14,6,1275
123,14,5,1300
124,14,6,1325
125,14,3,1350
126,14,6,1375
127,14,3,1400
128,14,6,1425
129,14,3,1450
130,14,6,1475
131,14,3,1500
132,14,6,1525
133,14,3,1550
134,14,6,1575
135,14,3,1600
136,14,6,1625
137,12,3,150
138,10,8,50
139,10,6,55
140,10,8,60
141,10,6,65
142,10,8,70
143,10,6,75
144,10,8,80
145,10,6,85
146,10,8,90
147,10,8,95
148,10,6,100
149,10,8,110
150,10,6,120
151,10,8,130
152,10,6,140
153,10,8,150
154,10,6,160
155,10,8,170
156,10,6,180
157,10,8,190
158,10,6,200
159,10,8,220
160,10,6,240
161,10,8,260
162,10,6,280
163,10,8,300
164,10,6,320
165,10,8,340
166,10,6,360
167,10,2,380
168,10,6,400
169,10,2,420
170,10,6,440
171,18,0,0
172,16,0,0
173,15,0,0
174,17,0,0
175,21,5,50
176,21,6,55
177,21,5,60
178,21,6,65
179,21,5,70
180,21,6,75
181,21,5,80
182,21,6,85
183,21,5,90
184,21,6,95
185,21,5,100
186,21,6,110
187,21,5,120
188,21,6,130
189,21,5,140
190,21,6,150
191,21,5,160
192,21,6,170
193,21,5,180
194,21,6,190
195,21,5,200
196,21,6,220
197,21,5,240
198,21,8,260
199,21,5,280
200,21,8,300
201,21,5,320
202,22,0,0
203,22,6,100
204,20,5,150
205,20,2,160
206,20,5,170
207,20,2,180
208,20,5,190
209,20,2,200
210,20,5,220
211,20,2,240
212,20,5,260
213,20,2,280
214,20,5,300
215,20,2,320
216,20,5,340
217,20,2,360
218,20,5,380
219,20,2,400
220,20,5,420
221,20,2,440
222,20,5,460
223,20,2,480
224,20,5,500
225,19,0,0
226,25,2,100
227,29,0,0
228,30,0,0
229,28,0,0
230,31,0,0
231,32,0,0
232,27,5,50
233,27,2,55
234,27,5,60
235,27,2,65
236,27,5,70
237,27,2,75
238,27,5,80
239,27,2,85
240,27,5,90
241,27,2,95
242,27,5,100
243,27,2,110
244,27,5,120
245,27,2,130
246,27,5,140
247,27,2,150
248,27,5,160
249,27,2,170
250,27,5,180
251,27,2,190
252,27,5,200
253,27,2,220
